Q69576641	P155	Q5880151
Q69853246	P361	Q16943431
Q69870380	P361	Q20495996
Q69900905	P1889	Q5183243
Q69901161	P361	Q20495781
Q69901169	P361	Q20495781
Q69901897	P361	Q20494378
Q69902881	P361	Q5463335
Q69904609	P361	Q20756369
Q69904620	P361	Q20756369
Q69904635	P361	Q20756369
Q70590171	P156	Q93375257
Q70590171	P155	Q58877793
Q71171235	P156	Q71171238
Q71171235	P155	Q71171233
Q71171367	P155	Q71171364
Q71171381	P156	Q71171383
Q71171381	P155	Q71171378
Q71954796	P144	Q19939990
Q72208266	P1889	Q4345913
Q72620469	P155	Q43231040
Q43370948	P5707	Q220394
Q44002671	P155	Q20676959
Q44491963	P144	Q219170
Q44869361	P5707	Q20431785
Q44874999	P1889	Q688743
Q44875281	P1343	Q77855044
Q44973867	P155	Q3227598
Q42940558	P156	Q42940566
Q42956309	P1889	Q42956372
Q43229493	P361	Q3790113
Q22000000	P460	Q2175638
Q22000483	P155	Q7754519
Q22350787	P155	Q21014482
Q22350801	P155	Q381758
Q22674163	P1889	Q55615278
Q22674163	P1889	Q6272379
Q22828894	P155	Q20814531
Q22828894	P156	Q20463713
Q23016244	P527	Q23069138
Q23016244	P527	Q23069139
Q23016244	P527	Q23069141
Q23016244	P527	Q23069142
Q23069142	P361	Q23016244
Q23309021	P156	Q100988292
Q23562877	P527	Q23700412
Q23562877	P527	Q23700414
Q23562877	P527	Q23700415
Q23562877	P527	Q23700416
Q23564396	P527	Q63400294
Q23564396	P527	Q63400296
Q23564396	P527	Q63400297
Q23564396	P527	Q63400298
Q23564396	P527	Q63400299
Q23564396	P527	Q63400301
Q23647107	P156	Q60219817
Q23900102	P155	Q4417252
Q24037585	P5059	Q17738
Q24037585	P5059	Q181795
Q24037585	P5059	Q181803
Q24515019	P156	Q55655546
Q24832112	P155	Q213326
Q24856052	P144	Q6346551
Q24856657	P1343	Q77855044
Q24860622	P1889	Q24868445
Q24905916	P155	Q19829492
Q24905916	P156	Q34200777
Q25209357	P1889	Q16478401
Q25302993	P272	Q27963181
Q25343752	P156	Q55698351
Q25385006	P155	Q20040740
Q25468971	P156	Q12757668
Q25477268	P155	Q19473423
Q25477268	P156	Q52818572
Q25631093	P155	Q20058570
Q96247376	P800	Q5231252
Q96247376	P800	Q10313612
Q96247376	P800	Q7859248
Q96247376	P800	Q96212867
Q96247376	P800	Q96247601
Q96247376	P156	Q93885902
Q96288172	P156	Q96311699
Q96359446	P361	Q92793580
Q96359467	P361	Q92793580
Q96409518	P156	Q106716441
Q96486948	P156	Q96486928
Q97338345	P155	Q29601664
Q97338678	P155	Q15979736
