Q69924508	P1889	Q12009880
Q22100447	P2673	Q6547014
Q22100447	P2674	Q28414131
Q23702867	P559	Q7985659
Q23702867	P559	Q21178004
Q25247436	P2673	Q25203997
Q25247436	P2674	Q12961833
Q25247436	P1365	Q2207397
Q96739359	P1365	Q26541026
Q97015540	P2673	Q97015150
Q97015540	P2674	Q97015049
Q97210337	P527	Q109379630
Q97210337	P527	Q109379631
Q97496356	P2673	Q11361916
Q97496356	P2674	Q108871838
Q98527970	P1889	Q98527972
Q98527972	P1889	Q98527970
Q99786395	P2673	Q5478079
Q99786395	P2674	Q99794261
Q99851779	P2674	Q99849443
Q99851779	P2673	Q99852182
Q99872426	P2674	Q99852182
Q99872426	P2673	Q26413940
Q100651173	P2674	Q100651180
Q100651173	P2673	Q100651169
Q100783929	P167	Q50531083
Q100783929	P1398	Q100784080
Q100786190	P167	Q1396221
Q100786190	P1398	Q100786332
Q101007553	P2674	Q6815358
Q101007553	P2673	Q7198227
Q101007553	P1398	Q7422607
Q101245494	P1889	Q101245574
Q101245494	P1889	Q3396976
Q101245494	P1889	Q3556731
Q101500120	P2674	Q101500103
Q101500120	P2673	Q105062245
Q101538355	P2674	Q26297055
Q101538355	P2673	Q26296919
Q101816199	P2674	Q101814305
Q101948494	P361	Q34561183
Q102046183	P2673	Q61979354
Q102076637	P2673	Q1784255
Q102076637	P2674	Q21027700
Q63229856	P167	Q63229866
Q63229866	P1398	Q63229856
Q68085658	P361	Q11975684
Q68085658	P2674	Q3314856
Q68085658	P2673	Q11966030
Q70388481	P1889	Q70386704
Q54731471	P2674	Q54263678
Q54731471	P2673	Q54765070
Q55313611	P177	Q19265607
Q55645953	P361	Q55002746
Q55748850	P138	Q944453
Q56347775	P2674	Q11481983
Q56347775	P2673	Q55535085
Q37578216	P2789	Q19884246
Q37766454	P361	Q107880936
Q37817799	P361	Q107332446
Q38089512	P2959	Q38089523
Q76407468	P2673	Q2838423
Q76853396	P361	Q19875502
Q79308523	P527	Q81579688
Q79308523	P527	Q81579842
Q37716815	P361	Q107332446
Q91900329	P361	Q5455845
Q91900352	P361	Q5455845
Q11773514	P2673	Q8070820
Q11773514	P2674	Q17498601
Q11773514	P527	Q67896733
Q11785854	P1366	Q387805
Q11785886	P941	Q11785898
Q12008269	P2674	Q56849925
Q12019993	P2673	Q11785801
Q12019993	P2674	Q12038720
Q12034559	P527	Q108319819
Q12034559	P527	Q108319820
Q12064057	P2674	Q1547700
Q12064057	P1889	Q3397656
Q14425604	P1366	Q110641812
Q14628924	P155	Q3556732
Q14629010	P2673	Q501003
Q14629010	P2674	Q880843
Q14629010	P1889	Q1494059
Q14629021	P2673	Q5527254
Q14629074	P2674	Q6801752
Q14629074	P2673	Q7945182
Q14629101	P2673	Q5430249
Q15228401	P2673	Q104876678
Q15240173	P2673	Q1286851
Q15263787	P2674	Q2012032
Q15905052	P2673	Q15907765
Q15907765	P2674	Q15905052
Q16323696	P527	Q109379565
Q16323696	P527	Q109379566
Q16986241	P2674	Q17560822
Q17209929	P2674	Q91778214
Q17213459	P31	Q13102635
Q17486123	P1366	Q17354929
Q17498616	P2673	Q4841073
Q17498616	P2674	Q8044448
Q17529715	P2673	Q99775281
